ID,NAME,USERNAME,EMAIL,STREET,CITY,ZIPCODE,LATITUDE,LNG
1,Leanne Graham,Bret,Sincere@april.biz,Kulas Light,Gwenborough,92998-3874,-37.3159,81.1496
2,Ervin Howell,Antonette,Shanna@melissa.tv,Victor Plains,Wisokyburgh,90566-7771,-43.9509,-34.4618
3,Clementine Bauch,Samantha,Nathan@yesenia.net,Douglas Extension,McKenziehaven,59590-4157,-68.6102,-47.0653
4,Patricia Lebsack,Karianne,Julianne.OConner@kory.org,Hoeger Mall,South Elvis,53919-4257,29.4572,-164.2990
5,Chelsey Dietrich,Kamren,Lucio_Hettinger@annie.ca,Skiles Walks,Roscoeview,33263,-31.8129,62.5342
6,Mrs. Dennis Schulist,Leopoldo_Corkery,Karley_Dach@jasper.info,Norberto Crossing,South Christy,23505-1337,-71.4197,71.7478
7,Kurtis Weissnat,Elwyn.Skiles,Telly.Hoeger@billy.biz,Rex Trail,Howemouth,58804-1099,24.8918,21.8984
8,Nicholas Runolfsdottir V,Maxime_Nienow,Sherwood@rosamond.me,Ellsworth Summit,Aliyaview,45169,-14.3990,-120.7677
9,Glenna Reichert,Delphine,Chaim_McDermott@dana.io,Dayna Park,Bartholomebury,76495-3109,24.6463,-168.8889
10,Clementina DuBuque,Moriah.Stanton,Rey.Padberg@karina.biz,Kattie Turnpike,Lebsackbury,31428-2261,-38.2386,57.2232
